IDTrip,IDOriginTrip,IDAccount,TripName,Detail,Preparation,Booking,createDate,lastEdit,private,maxJoiner,started,count,IDCheckpoint,IDTrip,OrderC,createTime,time,locationName,detail,type
7c6ad9a0-6cd2-11ef-9f47-04421a0238fa,NULL,0e51d94e-6cd2-11ef-9f47-04421a0238fa,เที่ยวรอบเขื่อนขุลด่าน,เที่ยวรอบเขื่อนขุลด่าน,เตรียมตัวเที่ยวรอบเขื่อน,BI,"2024-07-08 09:00:00","2024-07-08 09:00:00",0,10,0,0,82d511de-6cd2-11ef-9f47-04421a0238fa,7c6ad9a0-6cd2-11ef-9f47-04421a0238fa,7,"2024-07-08 09:30:00","2024-09-08 15:30:00",เขื่อนขุนด่านปราการชล,"Destination 4",D
7c6ad9a0-6cd2-11ef-9f47-04421a0238fa,NULL,0e51d94e-6cd2-11ef-9f47-04421a0238fa,เที่ยวรอบเขื่อนขุลด่าน,เที่ยวรอบเขื่อนขุลด่าน,เตรียมตัวเที่ยวรอบเขื่อน,BI,"2024-07-08 09:00:00","2024-07-08 09:00:00",0,10,0,0,82d512f7-6cd2-11ef-9f47-04421a0238fa,7c6ad9a0-6cd2-11ef-9f47-04421a0238fa,8,"2024-07-08 09:35:00","2024-09-08 17:00:00",นีราการ์เดนส์,"Destination 5",D
9d785a08-6cd2-11ef-9f47-04421a0238fa,7c6ad9a0-6cd2-11ef-9f47-04421a0238fa,0e51cc96-6cd2-11ef-9f47-04421a0238fa,เที่ยวรอบเขื่อนขุลด่าน,เที่ยวรอบเขื่อนขุลด่าน,เตรียมตัวเที่ยวรอบเขื่อน,BE,"2024-07-07 09:00:00","2024-07-07 09:00:00",1,10,0,0,a95ef75b-6cd2-11ef-9f47-04421a0238fa,9d785a08-6cd2-11ef-9f47-04421a0238fa,1,"2024-07-08 09:00:00","2024-09-08 09:00:00",นีราการ์เดนส์,"Destination 1",D
9d785a08-6cd2-11ef-9f47-04421a0238fa,7c6ad9a0-6cd2-11ef-9f47-04421a0238fa,0e51cc96-6cd2-11ef-9f47-04421a0238fa,เที่ยวรอบเขื่อนขุลด่าน,เที่ยวรอบเขื่อนขุลด่าน,เตรียมตัวเที่ยวรอบเขื่อน,BE,"2024-07-07 09:00:00","2024-07-07 09:00:00",1,10,0,0,a95ef8fb-6cd2-11ef-9f47-04421a0238fa,9d785a08-6cd2-11ef-9f47-04421a0238fa,2,"2024-07-08 09:05:00","2024-09-08 09:30:00",รวมตัว,"Gather 1",G
9d785a08-6cd2-11ef-9f47-04421a0238fa,7c6ad9a0-6cd2-11ef-9f47-04421a0238fa,0e51cc96-6cd2-11ef-9f47-04421a0238fa,เที่ยวรอบเขื่อนขุลด่าน,เที่ยวรอบเขื่อนขุลด่าน,เตรียมตัวเที่ยวรอบเขื่อน,BE,"2024-07-07 09:00:00","2024-07-07 09:00:00",1,10,0,0,a95ef98f-6cd2-11ef-9f47-04421a0238fa,9d785a08-6cd2-11ef-9f47-04421a0238fa,3,"2024-07-08 09:10:00","2024-09-08 11:00:00",สวนคุณเล็ก,"Destination 2",D
9d785a08-6cd2-11ef-9f47-04421a0238fa,7c6ad9a0-6cd2-11ef-9f47-04421a0238fa,0e51cc96-6cd2-11ef-9f47-04421a0238fa,เที่ยวรอบเขื่อนขุลด่าน,เที่ยวรอบเขื่อนขุลด่าน,เตรียมตัวเที่ยวรอบเขื่อน,BE,"2024-07-07 09:00:00","2024-07-07 09:00:00",1,10,0,0,a95efa05-6cd2-11ef-9f47-04421a0238fa,9d785a08-6cd2-11ef-9f47-04421a0238fa,4,"2024-07-08 09:15:00","2024-09-08 12:30:00",นีราการ์เดนส์,"Destination 3",D
9d785a08-6cd2-11ef-9f47-04421a0238fa,7c6ad9a0-6cd2-11ef-9f47-04421a0238fa,0e51cc96-6cd2-11ef-9f47-04421a0238fa,เที่ยวรอบเขื่อนขุลด่าน,เที่ยวรอบเขื่อนขุลด่าน,เตรียมตัวเที่ยวรอบเขื่อน,BE,"2024-07-07 09:00:00","2024-07-07 09:00:00",1,10,0,0,a95efac2-6cd2-11ef-9f47-04421a0238fa,9d785a08-6cd2-11ef-9f47-04421a0238fa,5,"2024-07-08 09:20:00","2024-09-08 13:00:00",กินข้าวและพักผ่อน,Activity,A
9d785a08-6cd2-11ef-9f47-04421a0238fa,7c6ad9a0-6cd2-11ef-9f47-04421a0238fa,0e51cc96-6cd2-11ef-9f47-04421a0238fa,เที่ยวรอบเขื่อนขุลด่าน,เที่ยวรอบเขื่อนขุลด่าน,เตรียมตัวเที่ยวรอบเขื่อน,BE,"2024-07-07 09:00:00","2024-07-07 09:00:00",1,10,0,0,a95efb2e-6cd2-11ef-9f47-04421a0238fa,9d785a08-6cd2-11ef-9f47-04421a0238fa,6,"2024-07-08 09:25:00","2024-09-08 14:30:00",รวมตัวเดินทาง,"Gather 2",G
9d785a08-6cd2-11ef-9f47-04421a0238fa,7c6ad9a0-6cd2-11ef-9f47-04421a0238fa,0e51cc96-6cd2-11ef-9f47-04421a0238fa,เที่ยวรอบเขื่อนขุลด่าน,เที่ยวรอบเขื่อนขุลด่าน,เตรียมตัวเที่ยวรอบเขื่อน,BE,"2024-07-07 09:00:00","2024-07-07 09:00:00",1,10,0,0,a95efba2-6cd2-11ef-9f47-04421a0238fa,9d785a08-6cd2-11ef-9f47-04421a0238fa,7,"2024-07-08 09:30:00","2024-09-08 15:30:00",เขื่อนขุนด่านปราการชล,"Destination 4",D
9d785a08-6cd2-11ef-9f47-04421a0238fa,7c6ad9a0-6cd2-11ef-9f47-04421a0238fa,0e51cc96-6cd2-11ef-9f47-04421a0238fa,เที่ยวรอบเขื่อนขุลด่าน,เที่ยวรอบเขื่อนขุลด่าน,เตรียมตัวเที่ยวรอบเขื่อน,BE,"2024-07-07 09:00:00","2024-07-07 09:00:00",1,10,0,0,a95efc08-6cd2-11ef-9f47-04421a0238fa,9d785a08-6cd2-11ef-9f47-04421a0238fa,8,"2024-07-08 09:35:00","2024-09-08 17:00:00",นีราการ์เดนส์,"Destination 5",D
9d785b6a-6cd2-11ef-9f47-04421a0238fa,7c6ad9a0-6cd2-11ef-9f47-04421a0238fa,0e51d9ad-6cd2-11ef-9f47-04421a0238fa,เที่ยวรอบเขื่อนขุลด่าน,เที่ยวรอบเขื่อนขุลด่าน,เตรียมตัวเที่ยวรอบเขื่อน,BE,"2024-07-07 09:00:00","2024-07-07 09:00:00",1,10,0,0,27b8c9bd-6cd4-11ef-9f47-04421a0238fa,9d785b6a-6cd2-11ef-9f47-04421a0238fa,1,"2024-07-08 09:00:00","2024-09-08 09:00:00",นีราการ์เดนส์,"Destination 1",D
9d785b6a-6cd2-11ef-9f47-04421a0238fa,7c6ad9a0-6cd2-11ef-9f47-04421a0238fa,0e51d9ad-6cd2-11ef-9f47-04421a0238fa,เที่ยวรอบเขื่อนขุลด่าน,เที่ยวรอบเขื่อนขุลด่าน,เตรียมตัวเที่ยวรอบเขื่อน,BE,"2024-07-07 09:00:00","2024-07-07 09:00:00",1,10,0,0,27b8ca5c-6cd4-11ef-9f47-04421a0238fa,9d785b6a-6cd2-11ef-9f47-04421a0238fa,2,"2024-07-08 09:05:00","2024-09-08 09:30:00",รวมตัว,"Gather 1",G
9d785b6a-6cd2-11ef-9f47-04421a0238fa,7c6ad9a0-6cd2-11ef-9f47-04421a0238fa,0e51d9ad-6cd2-11ef-9f47-04421a0238fa,เที่ยวรอบเขื่อนขุลด่าน,เที่ยวรอบเขื่อนขุลด่าน,เตรียมตัวเที่ยวรอบเขื่อน,BE,"2024-07-07 09:00:00","2024-07-07 09:00:00",1,10,0,0,27b8ca8c-6cd4-11ef-9f47-04421a0238fa,9d785b6a-6cd2-11ef-9f47-04421a0238fa,3,"2024-07-08 09:10:00","2024-09-08 11:00:00",สวนคุณเล็ก,"Destination 2",D
9d785b6a-6cd2-11ef-9f47-04421a0238fa,7c6ad9a0-6cd2-11ef-9f47-04421a0238fa,0e51d9ad-6cd2-11ef-9f47-04421a0238fa,เที่ยวรอบเขื่อนขุลด่าน,เที่ยวรอบเขื่อนขุลด่าน,เตรียมตัวเที่ยวรอบเขื่อน,BE,"2024-07-07 09:00:00","2024-07-07 09:00:00",1,10,0,0,27b8cab7-6cd4-11ef-9f47-04421a0238fa,9d785b6a-6cd2-11ef-9f47-04421a0238fa,4,"2024-07-08 09:15:00","2024-09-08 12:30:00",นีราการ์เดนส์,"Destination 3",D
9d785b6a-6cd2-11ef-9f47-04421a0238fa,7c6ad9a0-6cd2-11ef-9f47-04421a0238fa,0e51d9ad-6cd2-11ef-9f47-04421a0238fa,เที่ยวรอบเขื่อนขุลด่าน,เที่ยวรอบเขื่อนขุลด่าน,เตรียมตัวเที่ยวรอบเขื่อน,BE,"2024-07-07 09:00:00","2024-07-07 09:00:00",1,10,0,0,27b8cae0-6cd4-11ef-9f47-04421a0238fa,9d785b6a-6cd2-11ef-9f47-04421a0238fa,5,"2024-07-08 09:20:00","2024-09-08 13:00:00",กินข้าวและพักผ่อน,Activity,A
9d785b6a-6cd2-11ef-9f47-04421a0238fa,7c6ad9a0-6cd2-11ef-9f47-04421a0238fa,0e51d9ad-6cd2-11ef-9f47-04421a0238fa,เที่ยวรอบเขื่อนขุลด่าน,เที่ยวรอบเขื่อนขุลด่าน,เตรียมตัวเที่ยวรอบเขื่อน,BE,"2024-07-07 09:00:00","2024-07-07 09:00:00",1,10,0,0,27b8cb0b-6cd4-11ef-9f47-04421a0238fa,9d785b6a-6cd2-11ef-9f47-04421a0238fa,6,"2024-07-08 09:25:00","2024-09-08 14:30:00",รวมตัวเดินทาง,"Gather 2",G
9d785b6a-6cd2-11ef-9f47-04421a0238fa,7c6ad9a0-6cd2-11ef-9f47-04421a0238fa,0e51d9ad-6cd2-11ef-9f47-04421a0238fa,เที่ยวรอบเขื่อนขุลด่าน,เที่ยวรอบเขื่อนขุลด่าน,เตรียมตัวเที่ยวรอบเขื่อน,BE,"2024-07-07 09:00:00","2024-07-07 09:00:00",1,10,0,0,27b8cb30-6cd4-11ef-9f47-04421a0238fa,9d785b6a-6cd2-11ef-9f47-04421a0238fa,7,"2024-07-08 09:30:00","2024-09-08 15:30:00",เขื่อนขุนด่านปราการชล,"Destination 4",D
9d785b6a-6cd2-11ef-9f47-04421a0238fa,7c6ad9a0-6cd2-11ef-9f47-04421a0238fa,0e51d9ad-6cd2-11ef-9f47-04421a0238fa,เที่ยวรอบเขื่อนขุลด่าน,เที่ยวรอบเขื่อนขุลด่าน,เตรียมตัวเที่ยวรอบเขื่อน,BE,"2024-07-07 09:00:00","2024-07-07 09:00:00",1,10,0,0,27b8cb53-6cd4-11ef-9f47-04421a0238fa,9d785b6a-6cd2-11ef-9f47-04421a0238fa,8,"2024-07-08 09:35:00","2024-09-08 17:00:00",นีราการ์เดนส์,"Destination 5",D
afcb0f08-6cd2-11ef-9f47-04421a0238fa,267d09a5-6cd2-11ef-9f47-04421a0238fa,0e51d7f7-6cd2-11ef-9f47-04421a0238fa,"เที่ยว 3 วัดใน 1 วัน (ปีหน้า)","เที่ยว 3 วัดใน 1 วัน",เตรียมตัวพร้อมถวายสังฆทาน,NM,"2025-07-07 08:00:00","2025-07-07 08:00:00",0,10,1,0,b9529f6c-6cd2-11ef-9f47-04421a0238fa,afcb0f08-6cd2-11ef-9f47-04421a0238fa,1,"2025-07-07 08:00:00","2025-09-07 08:00:00",วัดลานบุญ,"Starting point",D
afcb0f08-6cd2-11ef-9f47-04421a0238fa,267d09a5-6cd2-11ef-9f47-04421a0238fa,0e51d7f7-6cd2-11ef-9f47-04421a0238fa,"เที่ยว 3 วัดใน 1 วัน (ปีหน้า)","เที่ยว 3 วัดใน 1 วัน",เตรียมตัวพร้อมถวายสังฆทาน,NM,"2025-07-07 08:00:00","2025-07-07 08:00:00",0,10,1,0,b952a008-6cd2-11ef-9f47-04421a0238fa,afcb0f08-6cd2-11ef-9f47-04421a0238fa,2,"2025-07-07 08:05:00","2025-09-07 08:30:00",ถวายสังฆทาน,"Activity 1",A
afcb0f08-6cd2-11ef-9f47-04421a0238fa,267d09a5-6cd2-11ef-9f47-04421a0238fa,0e51d7f7-6cd2-11ef-9f47-04421a0238fa,"เที่ยว 3 วัดใน 1 วัน (ปีหน้า)","เที่ยว 3 วัดใน 1 วัน",เตรียมตัวพร้อมถวายสังฆทาน,NM,"2025-07-07 08:00:00","2025-07-07 08:00:00",0,10,1,0,b952a037-6cd2-11ef-9f47-04421a0238fa,afcb0f08-6cd2-11ef-9f47-04421a0238fa,3,"2025-07-07 08:10:00","2025-09-07 09:30:00",วัดสังฆราชา,"Destination 2",D
afcb0f08-6cd2-11ef-9f47-04421a0238fa,267d09a5-6cd2-11ef-9f47-04421a0238fa,0e51d7f7-6cd2-11ef-9f47-04421a0238fa,"เที่ยว 3 วัดใน 1 วัน (ปีหน้า)","เที่ยว 3 วัดใน 1 วัน",เตรียมตัวพร้อมถวายสังฆทาน,NM,"2025-07-07 08:00:00","2025-07-07 08:00:00",0,10,1,0,b952a061-6cd2-11ef-9f47-04421a0238fa,afcb0f08-6cd2-11ef-9f47-04421a0238fa,4,"2025-07-07 08:15:00","2025-09-07 10:00:00",ถวายสังฆทาน,"Activity 2",A
afcb0f08-6cd2-11ef-9f47-04421a0238fa,267d09a5-6cd2-11ef-9f47-04421a0238fa,0e51d7f7-6cd2-11ef-9f47-04421a0238fa,"เที่ยว 3 วัดใน 1 วัน (ปีหน้า)","เที่ยว 3 วัดใน 1 วัน",เตรียมตัวพร้อมถวายสังฆทาน,NM,"2025-07-07 08:00:00","2025-07-07 08:00:00",0,10,1,0,b952a0da-6cd2-11ef-9f47-04421a0238fa,afcb0f08-6cd2-11ef-9f47-04421a0238fa,5,"2025-07-07 08:20:00","2025-09-07 12:00:00",กินข้าวเที่ยง,Gather,G
afcb0f08-6cd2-11ef-9f47-04421a0238fa,267d09a5-6cd2-11ef-9f47-04421a0238fa,0e51d7f7-6cd2-11ef-9f47-04421a0238fa,"เที่ยว 3 วัดใน 1 วัน (ปีหน้า)","เที่ยว 3 วัดใน 1 วัน",เตรียมตัวพร้อมถวายสังฆทาน,NM,"2025-07-07 08:00:00","2025-07-07 08:00:00",0,10,1,0,b952a106-6cd2-11ef-9f47-04421a0238fa,afcb0f08-6cd2-11ef-9f47-04421a0238fa,6,"2025-07-07 08:25:00","2025-09-07 13:30:00",วัดลาดกระบัง,"Destination 3",D
afcb0f08-6cd2-11ef-9f47-04421a0238fa,267d09a5-6cd2-11ef-9f47-04421a0238fa,0e51d7f7-6cd2-11ef-9f47-04421a0238fa,"เที่ยว 3 วัดใน 1 วัน (ปีหน้า)","เที่ยว 3 วัดใน 1 วัน",เตรียมตัวพร้อมถวายสังฆทาน,NM,"2025-07-07 08:00:00","2025-07-07 08:00:00",0,10,1,0,b952a130-6cd2-11ef-9f47-04421a0238fa,afcb0f08-6cd2-11ef-9f47-04421a0238fa,7,"2025-07-07 08:30:00","2025-09-07 14:00:00",ถวายสังฆทาน,"Activity 3",A
afcb0f08-6cd2-11ef-9f47-04421a0238fa,267d09a5-6cd2-11ef-9f47-04421a0238fa,0e51d7f7-6cd2-11ef-9f47-04421a0238fa,"เที่ยว 3 วัดใน 1 วัน (ปีหน้า)","เที่ยว 3 วัดใน 1 วัน",เตรียมตัวพร้อมถวายสังฆทาน,NM,"2025-07-07 08:00:00","2025-07-07 08:00:00",0,10,1,0,b952a157-6cd2-11ef-9f47-04421a0238fa,afcb0f08-6cd2-11ef-9f47-04421a0238fa,8,"2025-07-07 08:35:00","2025-09-07 15:30:00",พูดคุยกัน,Gather,G
